fecha=2021-02-01, casosComunidad=3089, hombres=1520, mujeres=1569, casosAlicante=1211, casosCastellon=392, casosValencia=1486
fecha=2021-02-02, casosComunidad=4268, hombres=2042, mujeres=2226, casosAlicante=1654, casosCastellon=426, casosValencia=2188
fecha=2021-02-03, casosComunidad=4059, hombres=2020, mujeres=2039, casosAlicante=1617, casosCastellon=402, casosValencia=2040
fecha=2021-02-04, casosComunidad=3166, hombres=1540, mujeres=1626, casosAlicante=1361, casosCastellon=350, casosValencia=1455
fecha=2021-02-05, casosComunidad=2793, hombres=1327, mujeres=1466, casosAlicante=1203, casosCastellon=285, casosValencia=1305
fecha=2021-02-06, casosComunidad=1707, hombres=828, mujeres=879, casosAlicante=705, casosCastellon=250, casosValencia=752
fecha=2021-02-07, casosComunidad=632, hombres=294, mujeres=338, casosAlicante=324, casosCastellon=40, casosValencia=268
fecha=2021-02-08, casosComunidad=1537, hombres=734, mujeres=803, casosAlicante=500, casosCastellon=237, casosValencia=800
fecha=2021-02-09, casosComunidad=1750, hombres=802, mujeres=948, casosAlicante=637, casosCastellon=183, casosValencia=930
fecha=2021-02-10, casosComunidad=1461, hombres=689, mujeres=772, casosAlicante=566, casosCastellon=159, casosValencia=736
fecha=2021-02-11, casosComunidad=1212, hombres=586, mujeres=626, casosAlicante=427, casosCastellon=153, casosValencia=632
fecha=2021-02-12, casosComunidad=1116, hombres=566, mujeres=550, casosAlicante=410, casosCastellon=155, casosValencia=551
fecha=2021-02-13, casosComunidad=699, hombres=351, mujeres=348, casosAlicante=268, casosCastellon=102, casosValencia=329
fecha=2021-02-14, casosComunidad=249, hombres=107, mujeres=142, casosAlicante=118, casosCastellon=38, casosValencia=93
fecha=2021-02-15, casosComunidad=699, hombres=335, mujeres=364, casosAlicante=261, casosCastellon=66, casosValencia=372
fecha=2021-02-16, casosComunidad=866, hombres=408, mujeres=458, casosAlicante=282, casosCastellon=118, casosValencia=466
fecha=2021-02-17, casosComunidad=670, hombres=323, mujeres=347, casosAlicante=231, casosCastellon=92, casosValencia=347
fecha=2021-02-18, casosComunidad=526, hombres=263, mujeres=263, casosAlicante=189, casosCastellon=76, casosValencia=261
fecha=2021-02-19, casosComunidad=555, hombres=256, mujeres=299, casosAlicante=216, casosCastellon=63, casosValencia=276
fecha=2021-02-20, casosComunidad=373, hombres=176, mujeres=197, casosAlicante=133, casosCastellon=57, casosValencia=183
fecha=2021-02-21, casosComunidad=161, hombres=80, mujeres=81, casosAlicante=76, casosCastellon=34, casosValencia=51
fecha=2021-02-22, casosComunidad=327, hombres=161, mujeres=166, casosAlicante=116, casosCastellon=28, casosValencia=183
fecha=2021-02-23, casosComunidad=465, hombres=222, mujeres=243, casosAlicante=196, casosCastellon=55, casosValencia=214
fecha=2021-02-24, casosComunidad=388, hombres=173, mujeres=215, casosAlicante=139, casosCastellon=54, casosValencia=195
fecha=2021-02-25, casosComunidad=359, hombres=188, mujeres=171, casosAlicante=133, casosCastellon=46, casosValencia=180
fecha=2021-02-26, casosComunidad=348, hombres=161, mujeres=187, casosAlicante=152, casosCastellon=25, casosValencia=171
fecha=2021-02-27, casosComunidad=196, hombres=92, mujeres=104, casosAlicante=84, casosCastellon=30, casosValencia=82
fecha=2021-02-28, casosComunidad=93, hombres=54, mujeres=39, casosAlicante=31, casosCastellon=20, casosValencia=42
fecha=2022-02-01, casosComunidad=12441, hombres=5696, mujeres=6744, casosAlicante=3917, casosCastellon=1614, casosValencia=6910
fecha=2022-02-02, casosComunidad=10670, hombres=4843, mujeres=5825, casosAlicante=3267, casosCastellon=1317, casosValencia=6086
fecha=2022-02-03, casosComunidad=9064, hombres=4146, mujeres=4918, casosAlicante=2869, casosCastellon=1064, casosValencia=5131
fecha=2022-02-04, casosComunidad=8082, hombres=3745, mujeres=4333, casosAlicante=2612, casosCastellon=1046, casosValencia=4424
fecha=2022-02-05, casosComunidad=3475, hombres=1570, mujeres=1904, casosAlicante=1026, casosCastellon=497, casosValencia=1952
fecha=2022-02-06, casosComunidad=1724, hombres=779, mujeres=943, casosAlicante=637, casosCastellon=245, casosValencia=842
fecha=2022-02-07, casosComunidad=9050, hombres=4127, mujeres=4922, casosAlicante=2825, casosCastellon=988, casosValencia=5237
fecha=2022-02-08, casosComunidad=7138, hombres=3275, mujeres=3861, casosAlicante=2234, casosCastellon=789, casosValencia=4115
fecha=2022-02-09, casosComunidad=6682, hombres=3136, mujeres=3544, casosAlicante=2065, casosCastellon=709, casosValencia=3908
fecha=2022-02-10, casosComunidad=5727, hombres=2588, mujeres=3138, casosAlicante=1857, casosCastellon=627, casosValencia=3243
fecha=2022-02-11, casosComunidad=4525, hombres=2064, mujeres=2461, casosAlicante=1503, casosCastellon=513, casosValencia=2509
fecha=2022-02-12, casosComunidad=1984, hombres=872, mujeres=1112, casosAlicante=644, casosCastellon=223, casosValencia=1117
fecha=2022-02-13, casosComunidad=1046, hombres=465, mujeres=581, casosAlicante=375, casosCastellon=119, casosValencia=552
fecha=2022-02-14, casosComunidad=4947, hombres=2249, mujeres=2697, casosAlicante=1580, casosCastellon=558, casosValencia=2809
fecha=2022-02-15, casosComunidad=3980, hombres=1802, mujeres=2177, casosAlicante=1254, casosCastellon=407, casosValencia=2319
fecha=2022-02-16, casosComunidad=3515, hombres=1528, mujeres=1983, casosAlicante=1189, casosCastellon=351, casosValencia=1975
fecha=2022-02-17, casosComunidad=2833, hombres=1277, mujeres=1555, casosAlicante=944, casosCastellon=300, casosValencia=1589
fecha=2022-02-18, casosComunidad=2706, hombres=1215, mujeres=1491, casosAlicante=906, casosCastellon=293, casosValencia=1507
fecha=2022-02-19, casosComunidad=1107, hombres=501, mujeres=605, casosAlicante=323, casosCastellon=122, casosValencia=662
fecha=2022-02-20, casosComunidad=645, hombres=270, mujeres=374, casosAlicante=228, casosCastellon=83, casosValencia=334
fecha=2022-02-21, casosComunidad=2774, hombres=1254, mujeres=1518, casosAlicante=887, casosCastellon=295, casosValencia=1592
fecha=2022-02-22, casosComunidad=2348, hombres=1023, mujeres=1324, casosAlicante=810, casosCastellon=240, casosValencia=1298
fecha=2022-02-23, casosComunidad=2124, hombres=904, mujeres=1217, casosAlicante=731, casosCastellon=195, casosValencia=1198
fecha=2022-02-24, casosComunidad=1955, hombres=862, mujeres=1092, casosAlicante=649, casosCastellon=218, casosValencia=1088
fecha=2022-02-25, casosComunidad=1646, hombres=726, mujeres=917, casosAlicante=556, casosCastellon=169, casosValencia=921
fecha=2022-02-26, casosComunidad=731, hombres=305, mujeres=421, casosAlicante=239, casosCastellon=82, casosValencia=410
fecha=2022-02-27, casosComunidad=423, hombres=185, mujeres=238, casosAlicante=158, casosCastellon=45, casosValencia=220
fecha=2022-02-28, casosComunidad=2041, hombres=897, mujeres=1128, casosAlicante=686, casosCastellon=288, casosValencia=1067
fecha=2023-02-01, casosComunidad=126, hombres=62, mujeres=64, casosAlicante=30, casosCastellon=15, casosValencia=81
fecha=2023-02-02, casosComunidad=89, hombres=25, mujeres=64, casosAlicante=22, casosCastellon=17, casosValencia=50
fecha=2023-02-03, casosComunidad=110, hombres=40, mujeres=70, casosAlicante=37, casosCastellon=10, casosValencia=63
fecha=2023-02-06, casosComunidad=148, hombres=59, mujeres=89, casosAlicante=49, casosCastellon=23, casosValencia=76
fecha=2023-02-07, casosComunidad=133, hombres=58, mujeres=75, casosAlicante=43, casosCastellon=19, casosValencia=71
fecha=2023-02-08, casosComunidad=101, hombres=50, mujeres=51, casosAlicante=31, casosCastellon=12, casosValencia=58
fecha=2023-02-09, casosComunidad=98, hombres=31, mujeres=67, casosAlicante=27, casosCastellon=23, casosValencia=48
fecha=2023-02-10, casosComunidad=101, hombres=36, mujeres=65, casosAlicante=33, casosCastellon=10, casosValencia=58
fecha=2023-02-13, casosComunidad=100, hombres=49, mujeres=51, casosAlicante=33, casosCastellon=13, casosValencia=54
fecha=2023-02-14, casosComunidad=110, hombres=43, mujeres=67, casosAlicante=32, casosCastellon=10, casosValencia=66
fecha=2023-02-15, casosComunidad=81, hombres=36, mujeres=45, casosAlicante=18, casosCastellon=15, casosValencia=48
fecha=2023-02-16, casosComunidad=85, hombres=40, mujeres=45, casosAlicante=35, casosCastellon=12, casosValencia=38
fecha=2023-02-17, casosComunidad=79, hombres=30, mujeres=49, casosAlicante=22, casosCastellon=8, casosValencia=49
fecha=2023-02-20, casosComunidad=115, hombres=53, mujeres=62, casosAlicante=46, casosCastellon=15, casosValencia=54
fecha=2023-02-21, casosComunidad=114, hombres=47, mujeres=66, casosAlicante=38, casosCastellon=11, casosValencia=65
fecha=2023-02-22, casosComunidad=105, hombres=49, mujeres=56, casosAlicante=28, casosCastellon=16, casosValencia=61
fecha=2023-02-23, casosComunidad=84, hombres=43, mujeres=40, casosAlicante=18, casosCastellon=12, casosValencia=54
fecha=2023-02-27, casosComunidad=89, hombres=37, mujeres=50, casosAlicante=33, casosCastellon=6, casosValencia=50
fecha=2023-02-28, casosComunidad=74, hombres=31, mujeres=43, casosAlicante=21, casosCastellon=9, casosValencia=44
