fecha=2020-04-01, casosComunidad=394, hombres=169, mujeres=225, casosAlicante=139, casosCastellon=47, casosValencia=208
fecha=2020-04-02, casosComunidad=288, hombres=132, mujeres=156, casosAlicante=114, casosCastellon=42, casosValencia=132
fecha=2020-04-03, casosComunidad=304, hombres=135, mujeres=169, casosAlicante=108, casosCastellon=67, casosValencia=129
fecha=2020-04-04, casosComunidad=205, hombres=83, mujeres=122, casosAlicante=42, casosCastellon=13, casosValencia=150
fecha=2020-04-05, casosComunidad=158, hombres=60, mujeres=98, casosAlicante=50, casosCastellon=22, casosValencia=86
fecha=2020-04-06, casosComunidad=167, hombres=74, mujeres=93, casosAlicante=76, casosCastellon=21, casosValencia=70
fecha=2020-04-07, casosComunidad=215, hombres=92, mujeres=123, casosAlicante=62, casosCastellon=25, casosValencia=128
fecha=2020-04-08, casosComunidad=293, hombres=117, mujeres=176, casosAlicante=100, casosCastellon=79, casosValencia=114
fecha=2020-04-09, casosComunidad=230, hombres=81, mujeres=149, casosAlicante=35, casosCastellon=64, casosValencia=131
fecha=2020-04-10, casosComunidad=152, hombres=58, mujeres=94, casosAlicante=47, casosCastellon=34, casosValencia=71
fecha=2020-04-11, casosComunidad=95, hombres=46, mujeres=49, casosAlicante=34, casosCastellon=18, casosValencia=43
fecha=2020-04-12, casosComunidad=90, hombres=33, mujeres=57, casosAlicante=16, casosCastellon=19, casosValencia=55
fecha=2020-04-13, casosComunidad=131, hombres=62, mujeres=69, casosAlicante=26, casosCastellon=44, casosValencia=61
fecha=2020-04-14, casosComunidad=115, hombres=50, mujeres=65, casosAlicante=36, casosCastellon=23, casosValencia=56
fecha=2020-04-15, casosComunidad=207, hombres=87, mujeres=120, casosAlicante=49, casosCastellon=79, casosValencia=79
fecha=2020-04-16, casosComunidad=91, hombres=26, mujeres=65, casosAlicante=33, casosCastellon=11, casosValencia=47
fecha=2020-04-17, casosComunidad=75, hombres=28, mujeres=47, casosAlicante=12, casosCastellon=22, casosValencia=41
fecha=2020-04-21, casosComunidad=79, hombres=41, mujeres=38, casosAlicante=23, casosCastellon=17, casosValencia=39
fecha=2020-04-23, casosComunidad=79, hombres=31, mujeres=48, casosAlicante=19, casosCastellon=11, casosValencia=49
fecha=2020-04-29, casosComunidad=84, hombres=29, mujeres=55, casosAlicante=31, casosCastellon=13, casosValencia=40
fecha=2021-04-01, casosComunidad=177, hombres=96, mujeres=81, casosAlicante=70, casosCastellon=16, casosValencia=91
fecha=2021-04-02, casosComunidad=116, hombres=59, mujeres=57, casosAlicante=39, casosCastellon=27, casosValencia=50
fecha=2021-04-03, casosComunidad=83, hombres=47, mujeres=36, casosAlicante=24, casosCastellon=20, casosValencia=39
fecha=2021-04-06, casosComunidad=178, hombres=93, mujeres=85, casosAlicante=35, casosCastellon=22, casosValencia=121
fecha=2021-04-07, casosComunidad=208, hombres=103, mujeres=105, casosAlicante=48, casosCastellon=24, casosValencia=136
fecha=2021-04-08, casosComunidad=184, hombres=97, mujeres=87, casosAlicante=52, casosCastellon=29, casosValencia=103
