fecha=2020-07-17, casosComunidad=73, hombres=30, mujeres=43, casosAlicante=28, casosCastellon=10, casosValencia=35
fecha=2020-07-18, casosComunidad=94, hombres=48, mujeres=46, casosAlicante=30, casosCastellon=10, casosValencia=54
fecha=2020-07-21, casosComunidad=108, hombres=58, mujeres=50, casosAlicante=32, casosCastellon=33, casosValencia=43
fecha=2020-07-22, casosComunidad=115, hombres=51, mujeres=64, casosAlicante=30, casosCastellon=27, casosValencia=58
fecha=2020-07-23, casosComunidad=128, hombres=63, mujeres=65, casosAlicante=40, casosCastellon=17, casosValencia=71
fecha=2020-07-24, casosComunidad=158, hombres=80, mujeres=78, casosAlicante=40, casosCastellon=25, casosValencia=93
fecha=2020-07-25, casosComunidad=154, hombres=83, mujeres=71, casosAlicante=42, casosCastellon=17, casosValencia=95
fecha=2020-07-27, casosComunidad=117, hombres=57, mujeres=60, casosAlicante=62, casosCastellon=9, casosValencia=46
fecha=2020-07-28, casosComunidad=157, hombres=79, mujeres=78, casosAlicante=43, casosCastellon=5, casosValencia=109
fecha=2020-07-29, casosComunidad=237, hombres=118, mujeres=119, casosAlicante=93, casosCastellon=8, casosValencia=136
fecha=2020-07-30, casosComunidad=261, hombres=135, mujeres=126, casosAlicante=62, casosCastellon=11, casosValencia=188
fecha=2020-07-31, casosComunidad=222, hombres=98, mujeres=124, casosAlicante=63, casosCastellon=17, casosValencia=142
fecha=2021-07-01, casosComunidad=1571, hombres=807, mujeres=764, casosAlicante=236, casosCastellon=135, casosValencia=1200
fecha=2021-07-02, casosComunidad=1756, hombres=878, mujeres=878, casosAlicante=231, casosCastellon=131, casosValencia=1394
fecha=2021-07-03, casosComunidad=1130, hombres=561, mujeres=569, casosAlicante=129, casosCastellon=111, casosValencia=890
fecha=2021-07-04, casosComunidad=467, hombres=232, mujeres=235, casosAlicante=87, casosCastellon=44, casosValencia=336
fecha=2021-07-05, casosComunidad=1509, hombres=767, mujeres=741, casosAlicante=274, casosCastellon=138, casosValencia=1097
fecha=2021-07-06, casosComunidad=1891, hombres=951, mujeres=940, casosAlicante=286, casosCastellon=174, casosValencia=1431
fecha=2021-07-07, casosComunidad=2062, hombres=1052, mujeres=1010, casosAlicante=380, casosCastellon=193, casosValencia=1489
fecha=2021-07-08, casosComunidad=1966, hombres=957, mujeres=1009, casosAlicante=364, casosCastellon=197, casosValencia=1405
fecha=2021-07-09, casosComunidad=2328, hombres=1153, mujeres=1175, casosAlicante=434, casosCastellon=191, casosValencia=1703
fecha=2021-07-10, casosComunidad=1623, hombres=774, mujeres=849, casosAlicante=314, casosCastellon=164, casosValencia=1145
fecha=2021-07-11, casosComunidad=830, hombres=451, mujeres=379, casosAlicante=238, casosCastellon=104, casosValencia=488
fecha=2021-07-12, casosComunidad=2217, hombres=1124, mujeres=1093, casosAlicante=530, casosCastellon=252, casosValencia=1435
fecha=2021-07-13, casosComunidad=2663, hombres=1389, mujeres=1274, casosAlicante=652, casosCastellon=275, casosValencia=1736
fecha=2021-07-14, casosComunidad=2911, hombres=1511, mujeres=1400, casosAlicante=664, casosCastellon=308, casosValencia=1939
fecha=2021-07-15, casosComunidad=2682, hombres=1338, mujeres=1344, casosAlicante=659, casosCastellon=276, casosValencia=1747
fecha=2021-07-16, casosComunidad=2867, hombres=1451, mujeres=1416, casosAlicante=790, casosCastellon=319, casosValencia=1758
fecha=2021-07-17, casosComunidad=1959, hombres=990, mujeres=969, casosAlicante=516, casosCastellon=189, casosValencia=1254
fecha=2021-07-18, casosComunidad=979, hombres=527, mujeres=452, casosAlicante=365, casosCastellon=133, casosValencia=481
fecha=2021-07-19, casosComunidad=2742, hombres=1334, mujeres=1408, casosAlicante=801, casosCastellon=298, casosValencia=1643
fecha=2021-07-20, casosComunidad=3069, hombres=1533, mujeres=1536, casosAlicante=905, casosCastellon=355, casosValencia=1809
fecha=2021-07-21, casosComunidad=3069, hombres=1511, mujeres=1558, casosAlicante=877, casosCastellon=303, casosValencia=1889
fecha=2021-07-22, casosComunidad=2930, hombres=1478, mujeres=1452, casosAlicante=984, casosCastellon=356, casosValencia=1590
fecha=2021-07-23, casosComunidad=3028, hombres=1522, mujeres=1506, casosAlicante=1035, casosCastellon=358, casosValencia=1635
fecha=2021-07-24, casosComunidad=1805, hombres=860, mujeres=945, casosAlicante=598, casosCastellon=191, casosValencia=1016
fecha=2021-07-25, casosComunidad=818, hombres=399, mujeres=419, casosAlicante=377, casosCastellon=100, casosValencia=341
fecha=2021-07-26, casosComunidad=2653, hombres=1304, mujeres=1349, casosAlicante=967, casosCastellon=242, casosValencia=1444
fecha=2021-07-27, casosComunidad=2882, hombres=1461, mujeres=1421, casosAlicante=1013, casosCastellon=284, casosValencia=1585
fecha=2021-07-28, casosComunidad=2680, hombres=1286, mujeres=1394, casosAlicante=1092, casosCastellon=247, casosValencia=1341
fecha=2021-07-29, casosComunidad=2443, hombres=1178, mujeres=1265, casosAlicante=997, casosCastellon=284, casosValencia=1162
fecha=2021-07-30, casosComunidad=2501, hombres=1236, mujeres=1265, casosAlicante=1047, casosCastellon=274, casosValencia=1180
fecha=2021-07-31, casosComunidad=1481, hombres=718, mujeres=763, casosAlicante=571, casosCastellon=167, casosValencia=743
fecha=2022-07-01, casosComunidad=2788, hombres=1157, mujeres=1626, casosAlicante=875, casosCastellon=323, casosValencia=1590
fecha=2022-07-02, casosComunidad=1292, hombres=543, mujeres=747, casosAlicante=410, casosCastellon=213, casosValencia=669
fecha=2022-07-03, casosComunidad=971, hombres=434, mujeres=537, casosAlicante=332, casosCastellon=161, casosValencia=477
fecha=2022-07-04, casosComunidad=3520, hombres=1424, mujeres=2071, casosAlicante=1013, casosCastellon=469, casosValencia=2038
fecha=2022-07-05, casosComunidad=3103, hombres=1276, mujeres=1822, casosAlicante=890, casosCastellon=396, casosValencia=1817
fecha=2022-07-06, casosComunidad=2917, hombres=1187, mujeres=1725, casosAlicante=857, casosCastellon=395, casosValencia=1665
fecha=2022-07-07, casosComunidad=2635, hombres=1047, mujeres=1578, casosAlicante=697, casosCastellon=374, casosValencia=1564
fecha=2022-07-08, casosComunidad=2574, hombres=1080, mujeres=1482, casosAlicante=723, casosCastellon=362, casosValencia=1489
fecha=2022-07-09, casosComunidad=1002, hombres=385, mujeres=610, casosAlicante=279, casosCastellon=188, casosValencia=534
fecha=2022-07-10, casosComunidad=680, hombres=301, mujeres=378, casosAlicante=190, casosCastellon=142, casosValencia=348
fecha=2022-07-11, casosComunidad=2687, hombres=1094, mujeres=1586, casosAlicante=687, casosCastellon=450, casosValencia=1550
fecha=2022-07-12, casosComunidad=2356, hombres=996, mujeres=1353, casosAlicante=559, casosCastellon=355, casosValencia=1442
fecha=2022-07-13, casosComunidad=2030, hombres=842, mujeres=1185, casosAlicante=485, casosCastellon=301, casosValencia=1243
fecha=2022-07-14, casosComunidad=1866, hombres=771, mujeres=1089, casosAlicante=474, casosCastellon=266, casosValencia=1126
fecha=2022-07-15, casosComunidad=1682, hombres=700, mujeres=976, casosAlicante=434, casosCastellon=253, casosValencia=995
fecha=2022-07-16, casosComunidad=729, hombres=312, mujeres=416, casosAlicante=201, casosCastellon=125, casosValencia=403
fecha=2022-07-17, casosComunidad=509, hombres=227, mujeres=280, casosAlicante=151, casosCastellon=115, casosValencia=242
fecha=2022-07-18, casosComunidad=1983, hombres=828, mujeres=1151, casosAlicante=536, casosCastellon=272, casosValencia=1175
fecha=2022-07-19, casosComunidad=1486, hombres=581, mujeres=903, casosAlicante=413, casosCastellon=217, casosValencia=856
fecha=2022-07-20, casosComunidad=1566, hombres=639, mujeres=926, casosAlicante=402, casosCastellon=228, casosValencia=936
fecha=2022-07-21, casosComunidad=1404, hombres=584, mujeres=812, casosAlicante=396, casosCastellon=189, casosValencia=819
fecha=2022-07-22, casosComunidad=1343, hombres=567, mujeres=774, casosAlicante=412, casosCastellon=183, casosValencia=748
fecha=2022-07-23, casosComunidad=542, hombres=234, mujeres=306, casosAlicante=171, casosCastellon=86, casosValencia=285
fecha=2022-07-24, casosComunidad=381, hombres=159, mujeres=221, casosAlicante=135, casosCastellon=54, casosValencia=192
fecha=2022-07-25, casosComunidad=1394, hombres=592, mujeres=801, casosAlicante=409, casosCastellon=184, casosValencia=801
fecha=2022-07-26, casosComunidad=1194, hombres=494, mujeres=697, casosAlicante=340, casosCastellon=189, casosValencia=665
fecha=2022-07-27, casosComunidad=1091, hombres=489, mujeres=599, casosAlicante=329, casosCastellon=137, casosValencia=625
fecha=2022-07-28, casosComunidad=989, hombres=397, mujeres=588, casosAlicante=300, casosCastellon=148, casosValencia=541
fecha=2022-07-29, casosComunidad=903, hombres=369, mujeres=530, casosAlicante=285, casosCastellon=132, casosValencia=486
fecha=2022-07-30, casosComunidad=402, hombres=172, mujeres=228, casosAlicante=133, casosCastellon=72, casosValencia=197
fecha=2022-07-31, casosComunidad=334, hombres=145, mujeres=186, casosAlicante=127, casosCastellon=64, casosValencia=143
fecha=2023-07-03, casosComunidad=87, hombres=33, mujeres=54, casosAlicante=33, casosCastellon=10, casosValencia=44
fecha=2023-07-05, casosComunidad=82, hombres=22, mujeres=60, casosAlicante=27, casosCastellon=11, casosValencia=44
fecha=2023-07-07, casosComunidad=71, hombres=34, mujeres=37, casosAlicante=15, casosCastellon=6, casosValencia=50
fecha=2023-07-10, casosComunidad=91, hombres=31, mujeres=60, casosAlicante=25, casosCastellon=3, casosValencia=63
fecha=2023-07-12, casosComunidad=88, hombres=32, mujeres=56, casosAlicante=21, casosCastellon=8, casosValencia=59
fecha=2023-07-13, casosComunidad=87, hombres=30, mujeres=57, casosAlicante=24, casosCastellon=5, casosValencia=58
fecha=2023-07-14, casosComunidad=99, hombres=42, mujeres=57, casosAlicante=29, casosCastellon=5, casosValencia=65
fecha=2023-07-15, casosComunidad=71, hombres=37, mujeres=34, casosAlicante=12, casosCastellon=5, casosValencia=54
fecha=2023-07-17, casosComunidad=151, hombres=67, mujeres=84, casosAlicante=56, casosCastellon=9, casosValencia=86
fecha=2023-07-18, casosComunidad=108, hombres=40, mujeres=68, casosAlicante=21, casosCastellon=9, casosValencia=78
fecha=2023-07-19, casosComunidad=95, hombres=36, mujeres=59, casosAlicante=38, casosCastellon=6, casosValencia=51
fecha=2023-07-20, casosComunidad=135, hombres=46, mujeres=89, casosAlicante=50, casosCastellon=6, casosValencia=79
fecha=2023-07-21, casosComunidad=128, hombres=52, mujeres=76, casosAlicante=41, casosCastellon=26, casosValencia=61
fecha=2023-07-22, casosComunidad=99, hombres=33, mujeres=66, casosAlicante=34, casosCastellon=9, casosValencia=56
fecha=2023-07-24, casosComunidad=171, hombres=70, mujeres=101, casosAlicante=55, casosCastellon=24, casosValencia=92
fecha=2023-07-25, casosComunidad=163, hombres=65, mujeres=98, casosAlicante=53, casosCastellon=18, casosValencia=92
fecha=2023-07-26, casosComunidad=212, hombres=94, mujeres=118, casosAlicante=56, casosCastellon=24, casosValencia=132
fecha=2023-07-27, casosComunidad=238, hombres=93, mujeres=145, casosAlicante=69, casosCastellon=47, casosValencia=122
fecha=2023-07-28, casosComunidad=222, hombres=83, mujeres=139, casosAlicante=57, casosCastellon=32, casosValencia=133
fecha=2023-07-29, casosComunidad=114, hombres=47, mujeres=67, casosAlicante=44, casosCastellon=15, casosValencia=55
fecha=2023-07-30, casosComunidad=110, hombres=47, mujeres=63, casosAlicante=20, casosCastellon=20, casosValencia=70
fecha=2023-07-31, casosComunidad=264, hombres=112, mujeres=152, casosAlicante=96, casosCastellon=30, casosValencia=138
