fecha=2020-09-01, casosComunidad=581, hombres=298, mujeres=283, casosAlicante=191, casosCastellon=51, casosValencia=339
fecha=2020-09-02, casosComunidad=767, hombres=367, mujeres=400, casosAlicante=297, casosCastellon=84, casosValencia=386
fecha=2020-09-03, casosComunidad=628, hombres=306, mujeres=322, casosAlicante=265, casosCastellon=70, casosValencia=293
fecha=2020-09-04, casosComunidad=706, hombres=332, mujeres=374, casosAlicante=259, casosCastellon=79, casosValencia=368
fecha=2020-09-05, casosComunidad=533, hombres=255, mujeres=278, casosAlicante=159, casosCastellon=59, casosValencia=315
fecha=2020-09-06, casosComunidad=341, hombres=170, mujeres=171, casosAlicante=136, casosCastellon=24, casosValencia=181
fecha=2020-09-07, casosComunidad=424, hombres=215, mujeres=209, casosAlicante=201, casosCastellon=39, casosValencia=184
fecha=2020-09-08, casosComunidad=666, hombres=315, mujeres=351, casosAlicante=257, casosCastellon=69, casosValencia=340
fecha=2020-09-09, casosComunidad=707, hombres=349, mujeres=358, casosAlicante=291, casosCastellon=92, casosValencia=324
fecha=2020-09-10, casosComunidad=701, hombres=319, mujeres=382, casosAlicante=283, casosCastellon=46, casosValencia=372
fecha=2020-09-11, casosComunidad=749, hombres=377, mujeres=372, casosAlicante=318, casosCastellon=76, casosValencia=355
fecha=2020-09-12, casosComunidad=489, hombres=253, mujeres=236, casosAlicante=174, casosCastellon=45, casosValencia=270
fecha=2020-09-13, casosComunidad=328, hombres=157, mujeres=171, casosAlicante=126, casosCastellon=36, casosValencia=166
fecha=2020-09-14, casosComunidad=440, hombres=237, mujeres=203, casosAlicante=260, casosCastellon=36, casosValencia=144
fecha=2020-09-15, casosComunidad=513, hombres=254, mujeres=259, casosAlicante=185, casosCastellon=50, casosValencia=278
fecha=2020-09-16, casosComunidad=614, hombres=293, mujeres=321, casosAlicante=239, casosCastellon=63, casosValencia=312
fecha=2020-09-17, casosComunidad=501, hombres=232, mujeres=269, casosAlicante=235, casosCastellon=43, casosValencia=223
fecha=2020-09-18, casosComunidad=592, hombres=281, mujeres=311, casosAlicante=177, casosCastellon=84, casosValencia=331
fecha=2020-09-19, casosComunidad=425, hombres=201, mujeres=224, casosAlicante=211, casosCastellon=37, casosValencia=177
fecha=2020-09-20, casosComunidad=271, hombres=148, mujeres=123, casosAlicante=111, casosCastellon=31, casosValencia=129
fecha=2020-09-21, casosComunidad=363, hombres=165, mujeres=198, casosAlicante=166, casosCastellon=36, casosValencia=161
fecha=2020-09-22, casosComunidad=544, hombres=274, mujeres=270, casosAlicante=198, casosCastellon=65, casosValencia=281
fecha=2020-09-23, casosComunidad=516, hombres=250, mujeres=266, casosAlicante=177, casosCastellon=57, casosValencia=282
fecha=2020-09-24, casosComunidad=523, hombres=266, mujeres=257, casosAlicante=211, casosCastellon=63, casosValencia=249
fecha=2020-09-25, casosComunidad=518, hombres=257, mujeres=261, casosAlicante=233, casosCastellon=82, casosValencia=203
fecha=2020-09-26, casosComunidad=382, hombres=196, mujeres=186, casosAlicante=118, casosCastellon=63, casosValencia=201
fecha=2020-09-27, casosComunidad=215, hombres=103, mujeres=112, casosAlicante=72, casosCastellon=27, casosValencia=116
fecha=2020-09-28, casosComunidad=290, hombres=142, mujeres=148, casosAlicante=124, casosCastellon=39, casosValencia=127
fecha=2020-09-29, casosComunidad=412, hombres=205, mujeres=207, casosAlicante=144, casosCastellon=65, casosValencia=203
fecha=2020-09-30, casosComunidad=489, hombres=229, mujeres=260, casosAlicante=162, casosCastellon=83, casosValencia=244
fecha=2021-09-01, casosComunidad=535, hombres=251, mujeres=284, casosAlicante=195, casosCastellon=59, casosValencia=281
fecha=2021-09-02, casosComunidad=392, hombres=179, mujeres=213, casosAlicante=166, casosCastellon=49, casosValencia=177
fecha=2021-09-03, casosComunidad=425, hombres=179, mujeres=246, casosAlicante=197, casosCastellon=48, casosValencia=180
fecha=2021-09-04, casosComunidad=195, hombres=94, mujeres=101, casosAlicante=79, casosCastellon=29, casosValencia=87
fecha=2021-09-05, casosComunidad=110, hombres=57, mujeres=53, casosAlicante=54, casosCastellon=17, casosValencia=39
fecha=2021-09-06, casosComunidad=310, hombres=148, mujeres=162, casosAlicante=141, casosCastellon=28, casosValencia=141
fecha=2021-09-07, casosComunidad=323, hombres=156, mujeres=167, casosAlicante=132, casosCastellon=47, casosValencia=144
fecha=2021-09-08, casosComunidad=243, hombres=111, mujeres=132, casosAlicante=89, casosCastellon=50, casosValencia=104
