fecha=2021-05-01, casosComunidad=112, hombres=59, mujeres=53, casosAlicante=25, casosCastellon=29, casosValencia=58
fecha=2021-05-03, casosComunidad=120, hombres=63, mujeres=57, casosAlicante=44, casosCastellon=13, casosValencia=63
fecha=2021-05-04, casosComunidad=141, hombres=68, mujeres=73, casosAlicante=46, casosCastellon=21, casosValencia=74
fecha=2021-05-05, casosComunidad=148, hombres=84, mujeres=64, casosAlicante=45, casosCastellon=24, casosValencia=79
fecha=2021-05-06, casosComunidad=139, hombres=67, mujeres=72, casosAlicante=51, casosCastellon=24, casosValencia=64
fecha=2021-05-07, casosComunidad=118, hombres=65, mujeres=53, casosAlicante=27, casosCastellon=34, casosValencia=57
fecha=2021-05-08, casosComunidad=112, hombres=58, mujeres=54, casosAlicante=39, casosCastellon=23, casosValencia=50
fecha=2021-05-10, casosComunidad=106, hombres=51, mujeres=55, casosAlicante=28, casosCastellon=21, casosValencia=57
fecha=2021-05-11, casosComunidad=141, hombres=67, mujeres=74, casosAlicante=34, casosCastellon=19, casosValencia=88
fecha=2021-05-12, casosComunidad=125, hombres=64, mujeres=61, casosAlicante=39, casosCastellon=17, casosValencia=69
fecha=2021-05-13, casosComunidad=128, hombres=64, mujeres=64, casosAlicante=40, casosCastellon=17, casosValencia=71
fecha=2021-05-14, casosComunidad=129, hombres=62, mujeres=67, casosAlicante=38, casosCastellon=24, casosValencia=67
fecha=2021-05-15, casosComunidad=101, hombres=54, mujeres=47, casosAlicante=22, casosCastellon=19, casosValencia=60
fecha=2021-05-17, casosComunidad=115, hombres=57, mujeres=58, casosAlicante=38, casosCastellon=27, casosValencia=50
fecha=2021-05-18, casosComunidad=164, hombres=67, mujeres=97, casosAlicante=58, casosCastellon=25, casosValencia=81
fecha=2021-05-19, casosComunidad=157, hombres=73, mujeres=84, casosAlicante=58, casosCastellon=29, casosValencia=70
fecha=2021-05-20, casosComunidad=121, hombres=58, mujeres=63, casosAlicante=40, casosCastellon=22, casosValencia=59
fecha=2021-05-21, casosComunidad=133, hombres=67, mujeres=66, casosAlicante=45, casosCastellon=12, casosValencia=76
fecha=2021-05-22, casosComunidad=93, hombres=54, mujeres=39, casosAlicante=25, casosCastellon=17, casosValencia=51
fecha=2021-05-24, casosComunidad=150, hombres=68, mujeres=82, casosAlicante=38, casosCastellon=25, casosValencia=87
fecha=2021-05-25, casosComunidad=205, hombres=111, mujeres=94, casosAlicante=52, casosCastellon=37, casosValencia=116
fecha=2021-05-26, casosComunidad=163, hombres=77, mujeres=86, casosAlicante=49, casosCastellon=28, casosValencia=86
fecha=2021-05-27, casosComunidad=172, hombres=83, mujeres=89, casosAlicante=43, casosCastellon=40, casosValencia=89
fecha=2021-05-28, casosComunidad=181, hombres=91, mujeres=90, casosAlicante=62, casosCastellon=28, casosValencia=91
fecha=2021-05-29, casosComunidad=116, hombres=64, mujeres=52, casosAlicante=42, casosCastellon=17, casosValencia=57
fecha=2021-05-31, casosComunidad=212, hombres=113, mujeres=99, casosAlicante=83, casosCastellon=35, casosValencia=94
fecha=2022-05-01, casosComunidad=513, hombres=217, mujeres=292, casosAlicante=214, casosCastellon=75, casosValencia=224
fecha=2022-05-02, casosComunidad=2434, hombres=975, mujeres=1455, casosAlicante=846, casosCastellon=279, casosValencia=1308
fecha=2022-05-03, casosComunidad=2161, hombres=830, mujeres=1331, casosAlicante=777, casosCastellon=251, casosValencia=1133
fecha=2022-05-04, casosComunidad=2050, hombres=838, mujeres=1211, casosAlicante=702, casosCastellon=254, casosValencia=1094
fecha=2022-05-05, casosComunidad=1957, hombres=773, mujeres=1184, casosAlicante=728, casosCastellon=249, casosValencia=980
fecha=2022-05-06, casosComunidad=1967, hombres=780, mujeres=1187, casosAlicante=725, casosCastellon=211, casosValencia=1031
fecha=2022-05-07, casosComunidad=738, hombres=346, mujeres=392, casosAlicante=242, casosCastellon=102, casosValencia=394
fecha=2022-05-08, casosComunidad=585, hombres=242, mujeres=342, casosAlicante=237, casosCastellon=115, casosValencia=233
fecha=2022-05-09, casosComunidad=2559, hombres=1054, mujeres=1505, casosAlicante=825, casosCastellon=360, casosValencia=1374
fecha=2022-05-10, casosComunidad=2365, hombres=922, mujeres=1441, casosAlicante=755, casosCastellon=327, casosValencia=1283
fecha=2022-05-11, casosComunidad=2221, hombres=875, mujeres=1343, casosAlicante=772, casosCastellon=266, casosValencia=1183
fecha=2022-05-12, casosComunidad=2018, hombres=799, mujeres=1217, casosAlicante=693, casosCastellon=237, casosValencia=1088
fecha=2022-05-13, casosComunidad=2054, hombres=800, mujeres=1251, casosAlicante=689, casosCastellon=233, casosValencia=1132
fecha=2022-05-14, casosComunidad=817, hombres=341, mujeres=473, casosAlicante=243, casosCastellon=154, casosValencia=420
fecha=2022-05-15, casosComunidad=519, hombres=203, mujeres=315, casosAlicante=191, casosCastellon=108, casosValencia=220
fecha=2022-05-16, casosComunidad=2489, hombres=988, mujeres=1497, casosAlicante=820, casosCastellon=318, casosValencia=1351
fecha=2022-05-17, casosComunidad=2108, hombres=850, mujeres=1256, casosAlicante=687, casosCastellon=245, casosValencia=1176
fecha=2022-05-18, casosComunidad=1726, hombres=675, mujeres=1040, casosAlicante=567, casosCastellon=239, casosValencia=920
fecha=2022-05-19, casosComunidad=1759, hombres=700, mujeres=1055, casosAlicante=543, casosCastellon=224, casosValencia=992
fecha=2022-05-20, casosComunidad=1529, hombres=584, mujeres=942, casosAlicante=513, casosCastellon=206, casosValencia=810
fecha=2022-05-21, casosComunidad=525, hombres=204, mujeres=317, casosAlicante=144, casosCastellon=91, casosValencia=290
fecha=2022-05-22, casosComunidad=376, hombres=154, mujeres=221, casosAlicante=135, casosCastellon=59, casosValencia=182
fecha=2022-05-23, casosComunidad=1738, hombres=699, mujeres=1031, casosAlicante=521, casosCastellon=253, casosValencia=964
fecha=2022-05-24, casosComunidad=1391, hombres=544, mujeres=846, casosAlicante=404, casosCastellon=187, casosValencia=800
fecha=2022-05-25, casosComunidad=1189, hombres=474, mujeres=705, casosAlicante=392, casosCastellon=178, casosValencia=619
fecha=2022-05-26, casosComunidad=1144, hombres=445, mujeres=693, casosAlicante=346, casosCastellon=171, casosValencia=627
fecha=2022-05-27, casosComunidad=1022, hombres=383, mujeres=637, casosAlicante=332, casosCastellon=151, casosValencia=539
fecha=2022-05-28, casosComunidad=412, hombres=178, mujeres=231, casosAlicante=147, casosCastellon=68, casosValencia=197
fecha=2022-05-29, casosComunidad=339, hombres=153, mujeres=185, casosAlicante=122, casosCastellon=59, casosValencia=158
fecha=2022-05-30, casosComunidad=1303, hombres=553, mujeres=749, casosAlicante=399, casosCastellon=163, casosValencia=741
fecha=2022-05-31, casosComunidad=1173, hombres=451, mujeres=718, casosAlicante=401, casosCastellon=152, casosValencia=620
fecha=2023-05-02, casosComunidad=132, hombres=57, mujeres=75, casosAlicante=31, casosCastellon=25, casosValencia=76
fecha=2023-05-03, casosComunidad=112, hombres=42, mujeres=70, casosAlicante=46, casosCastellon=20, casosValencia=46
fecha=2023-05-04, casosComunidad=91, hombres=38, mujeres=53, casosAlicante=45, casosCastellon=13, casosValencia=33
fecha=2023-05-05, casosComunidad=81, hombres=26, mujeres=55, casosAlicante=27, casosCastellon=12, casosValencia=42
fecha=2023-05-06, casosComunidad=77, hombres=34, mujeres=43, casosAlicante=47, casosCastellon=9, casosValencia=21
fecha=2023-05-08, casosComunidad=125, hombres=51, mujeres=74, casosAlicante=54, casosCastellon=17, casosValencia=54
fecha=2023-05-09, casosComunidad=124, hombres=45, mujeres=79, casosAlicante=65, casosCastellon=14, casosValencia=45
fecha=2023-05-10, casosComunidad=80, hombres=32, mujeres=48, casosAlicante=27, casosCastellon=15, casosValencia=38
fecha=2023-05-11, casosComunidad=105, hombres=35, mujeres=70, casosAlicante=49, casosCastellon=10, casosValencia=46
fecha=2023-05-12, casosComunidad=82, hombres=39, mujeres=43, casosAlicante=23, casosCastellon=12, casosValencia=47
fecha=2023-05-15, casosComunidad=118, hombres=39, mujeres=79, casosAlicante=49, casosCastellon=13, casosValencia=56
fecha=2023-05-16, casosComunidad=105, hombres=39, mujeres=66, casosAlicante=55, casosCastellon=11, casosValencia=39
fecha=2023-05-17, casosComunidad=135, hombres=62, mujeres=73, casosAlicante=64, casosCastellon=26, casosValencia=45
fecha=2023-05-18, casosComunidad=86, hombres=38, mujeres=48, casosAlicante=39, casosCastellon=10, casosValencia=37
fecha=2023-05-19, casosComunidad=110, hombres=47, mujeres=63, casosAlicante=46, casosCastellon=15, casosValencia=49
fecha=2023-05-20, casosComunidad=72, hombres=36, mujeres=36, casosAlicante=17, casosCastellon=14, casosValencia=41
fecha=2023-05-22, casosComunidad=201, hombres=85, mujeres=116, casosAlicante=81, casosCastellon=35, casosValencia=85
fecha=2023-05-23, casosComunidad=145, hombres=53, mujeres=92, casosAlicante=58, casosCastellon=17, casosValencia=70
fecha=2023-05-24, casosComunidad=157, hombres=66, mujeres=91, casosAlicante=56, casosCastellon=20, casosValencia=81
fecha=2023-05-25, casosComunidad=130, hombres=50, mujeres=80, casosAlicante=50, casosCastellon=8, casosValencia=72
fecha=2023-05-26, casosComunidad=114, hombres=50, mujeres=64, casosAlicante=40, casosCastellon=12, casosValencia=62
fecha=2023-05-29, casosComunidad=145, hombres=57, mujeres=88, casosAlicante=47, casosCastellon=14, casosValencia=84
fecha=2023-05-30, casosComunidad=86, hombres=28, mujeres=58, casosAlicante=34, casosCastellon=8, casosValencia=44
fecha=2023-05-31, casosComunidad=108, hombres=36, mujeres=72, casosAlicante=45, casosCastellon=9, casosValencia=54
